Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,1,92.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,2,75.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,3,31.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,4,32.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,5,33.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,6,42.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,7,35.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,8,39.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,9,31.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_0,10,30.0,92,23
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,1,40.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,2,35.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,3,29.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,4,28.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,5,27.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,6,27.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,7,27.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,8,27.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,9,27.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_1,10,25.0,40,22
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,1,91.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,2,74.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,3,60.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,4,46.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,5,40.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,6,42.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,7,41.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,8,41.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,9,45.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_2,10,39.0,91,30
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,1,82.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,2,34.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,3,42.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,4,43.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,5,38.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,6,36.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,7,35.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,8,37.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,9,34.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_3,10,31.0,82,20
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,1,93.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,2,60.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,3,51.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,4,45.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,5,46.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,6,35.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,7,59.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,8,48.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,9,38.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_4,10,37.0,93,27
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,1,88.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,2,72.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,3,50.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,4,55.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,5,65.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,6,52.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,7,53.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,8,62.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,9,53.0,88,38
6c45313e-a346-41b0-aac4-5a558526bf9e,provider_5,10,47.0,88,38
